source,Target,Weight
Congo,United States of America,456
Congo,Zambia,9
Costa Rica,Germany,5
Costa Rica,Mexico,30
Costa Rica,Spain,35
Costa Rica,United States of America,124
Cote d'Ivoire,Algeria,119
Cote d'Ivoire,Austria,5
Cote d'Ivoire,Belgium,116
Cote d'Ivoire,Benin,9
Cote d'Ivoire,Brazil,13
Cote d'Ivoire,Cameroon,14
Cote d'Ivoire,Canada,38
Cote d'Ivoire,China,6
Cote d'Ivoire,Cyprus,21
Cote d'Ivoire,Denmark,5
Cote d'Ivoire,Finland,5
Cote d'Ivoire,France,7762
Cote d'Ivoire,Germany,344
Cote d'Ivoire,Ghana,586
Cote d'Ivoire,Greece,49
Cote d'Ivoire,Guinea,608
Cote d'Ivoire,Honduras,5
Cote d'Ivoire,Iceland,5
Cote d'Ivoire,India,42
Cote d'Ivoire,Italy,622
Cote d'Ivoire,Liberia,10643
Cote d'Ivoire,Libya,5
Cote d'Ivoire,Luxembourg,15
Cote d'Ivoire,Malta,115
Cote d'Ivoire,Mauritania,97
Cote d'Ivoire,Mexico,15
Cote d'Ivoire,Morocco,387
Cote d'Ivoire,Netherlands,34
Cote d'Ivoire,Niger,10
Cote d'Ivoire,Nigeria,6
Cote d'Ivoire,Norway,10
Cote d'Ivoire,Philippines,6
Cote d'Ivoire,Portugal,10
Cote d'Ivoire,Rep. of Korea,13
Cote d'Ivoire,Spain,244
Cote d'Ivoire,Sweden,19
Cote d'Ivoire,Switzerland,34
Cote d'Ivoire,Togo,49
Cote d'Ivoire,Tunisia,1616
Cote d'Ivoire,Ukraine,6
Cote d'Ivoire,United Kingdom of Great Britain and Northern Ireland,46
Cote d'Ivoire,United States of America,197
Croatia,United States of America,5
Cuba,Argentina,73
Cuba,Armenia,12
Cuba,Austria,5
Cuba,Belarus,5
Cuba,Belgium,8
Cuba,Bolivia (Plurinational State of),5
Cuba,Brazil,980
Cuba,Canada,91
Cuba,Cayman Islands,20
Cuba,Chile,531
Cuba,Colombia,57
Cuba,Costa Rica,1688
Cuba,Croatia,5
Cuba,Czechia,24
Cuba,Dominican Rep.,20
Cuba,Ecuador,126
Cuba,Finland,18
Cuba,France,441
Cuba,Germany,41
Cuba,Greece,45
Cuba,Guatemala,16
Cuba,Guyana,21
Cuba,Honduras,5
Cuba,Italy,94
Cuba,Mexico,5758
Cuba,Montenegro,18
Cuba,Netherlands,18
Cuba,Panama,103
Cuba,Paraguay,113
Cuba,Peru,122
Cuba,Poland,8
Cuba,Romania,5
Cuba,Russian Federation,11
Cuba,Spain,1531
Cuba,Suriname,683
Cuba,Sweden,61
Cuba,Switzerland,5
Cuba,Trinidad and Tobago,146
Cuba,United Kingdom of Great Britain and Northern Ireland,18
Cuba,United States of America,9548
Cuba,Uruguay,2215
Czechia,Canada,5
Czechia,Norway,5
Czechia,Switzerland,5
Czechia,United States of America,7
Dem. People's Rep. of Korea,Australia,8
Dem. People's Rep. of Korea,Canada,14
Dem. People's Rep. of Korea,Russian Federation,14
Dem. People's Rep. of Korea,United Kingdom of Great Britain and Northern Ireland,5
Dem. Rep. of the Congo,Algeria,51
Dem. Rep. of the Congo,Austria,41
Dem. Rep. of the Congo,Belgium,424
Dem. Rep. of the Congo,Benin,22
Dem. Rep. of the Congo,Botswana,58
Dem. Rep. of the Congo,Brazil,22
Dem. Rep. of the Congo,Burundi,5585
Dem. Rep. of the Congo,Cameroon,33
Dem. Rep. of the Congo,Canada,418
Dem. Rep. of the Congo,Chad,8
Dem. Rep. of the Congo,China,8
Dem. Rep. of the Congo,Congo,21
Dem. Rep. of the Congo,Costa Rica,9
Dem. Rep. of the Congo,Cote d'Ivoire,14
Dem. Rep. of the Congo,Croatia,5
Dem. Rep. of the Congo,Cyprus,382
Dem. Rep. of the Congo,Denmark,13
Dem. Rep. of the Congo,Djibouti,9
Dem. Rep. of the Congo,Egypt,5
Dem. Rep. of the Congo,Eswatini,36
Dem. Rep. of the Congo,Ethiopia,60
Dem. Rep. of the Congo,Finland,23
Dem. Rep. of the Congo,France,5578
Dem. Rep. of the Congo,Georgia,5
Dem. Rep. of the Congo,Germany,211
Dem. Rep. of the Congo,Ghana,8
Dem. Rep. of the Congo,Greece,2566
Dem. Rep. of the Congo,Guinea,5
Dem. Rep. of the Congo,Iceland,5
Dem. Rep. of the Congo,India,46
Dem. Rep. of the Congo,Ireland,63
Dem. Rep. of the Congo,Israel,5
Dem. Rep. of the Congo,Italy,40
Dem. Rep. of the Congo,Kenya,1411
Dem. Rep. of the Congo,Lebanon,6
Dem. Rep. of the Congo,Lesotho,115
Dem. Rep. of the Congo,Libya,10
Dem. Rep. of the Congo,Luxembourg,5
Dem. Rep. of the Congo,Malawi,1889
Dem. Rep. of the Congo,Malta,7
Dem. Rep. of the Congo,Mauritania,20
Dem. Rep. of the Congo,Mexico,128
Dem. Rep. of the Congo,Morocco,101
Dem. Rep. of the Congo,Mozambique,335
Dem. Rep. of the Congo,Namibia,516
Dem. Rep. of the Congo,Netherlands,15
Dem. Rep. of the Congo,Niger,22
Dem. Rep. of the Congo,Nigeria,41
Dem. Rep. of the Congo,Norway,10
Dem. Rep. of the Congo,Portugal,28
Dem. Rep. of the Congo,Rep. of Korea,6
Dem. Rep. of the Congo,Romania,11
Dem. Rep. of the Congo,Russian Federation,11
Dem. Rep. of the Congo,Rwanda,8
Dem. Rep. of the Congo,Senegal,5
Dem. Rep. of the Congo,Slovenia,5
Dem. Rep. of the Congo,South Africa,685
Dem. Rep. of the Congo,Spain,37
Dem. Rep. of the Congo,Sudan,109
Dem. Rep. of the Congo,Sweden,142
Dem. Rep. of the Congo,Switzerland,98
Dem. Rep. of the Congo,Thailand,5
Dem. Rep. of the Congo,Togo,10
Dem. Rep. of the Congo,Tunisia,47
Dem. Rep. of the Congo,Uganda,8755
Dem. Rep. of the Congo,Ukraine,26
Dem. Rep. of the Congo,United Kingdom of Great Britain and Northern Ireland,65
Dem. Rep. of the Congo,United Rep. of Tanzania,720
Dem. Rep. of the Congo,United States of America,587
Dem. Rep. of the Congo,Zambia,5956
Dem. Rep. of the Congo,Zimbabwe,701
Djibouti,Belgium,33
Djibouti,Canada,7
Djibouti,Egypt,9
Djibouti,France,126
Djibouti,Germany,6
Djibouti,Sweden,29
Djibouti,United States of America,18
Dominica,Mexico,5
Dominica,Peru,5
Dominica,United Kingdom of Great Britain and Northern Ireland,9
Dominica,United States of America,5
Dominican Rep.,Argentina,70
